Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1836,MMA--09--- (Room 220),MSC--09--- (Room 227),MPHE-09G-- (Room Gym),MDNC-09H-- (Room Studio),MSP--09--- (Room 205A),MSS--09--- (Room 123),MWBDV10IT- (Room 203),MEN--09--- (Room 205B)
1837,MFR--09--- (Room 208),MPHE-09Y-- (Room Gym),MEN--09--- (Room A-3),MDNC-09H-- (Room Studio),MMA--09--- (Room 210),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MSC--09--- (Room 219)
1838,MADGE09--- (Room 105),MADD-09--- (Room 105),MSS--09C-- (Room 121),XLDCB09M-- (Room 103),MPHE-09B-- (Room Gym),MEN--09C-- (Room A-6),MSP--09--- (Room 207B),MSC--09C-- (Room 211)
1839,MFR--09--- (Room 208),MADGE09--- (Room 104),MPHE-09G-- (Room Gym),MSC--09--- (Room 211),MVA--09--- (Room 116),MSS--09--- (Room 121),XBA--09G-- (Room 119),MEN--09--- (Room 205B)
1840,MEN--09--- (Room A-6),MADGE09--- (Room 104),MMA--09H-- (Room 106),MSS--09--- (Room 121),MADD-09--- (Room 105),MPHE-09--- (Room Gym),XBA--09G-- (Room 119),MSC--09--- (Room 226)
1841,MEN--09--- (Room A-6),MSC--09--- (Room 227),MMA--09H-- (Room 106),MSS--09--- (Room 121),MSP--09--- (Room 205A),MFR--09--- (Room 207B),XBA--09G-- (Room 119),MPHE-09B-- (Room Gym)
1842,MWBDV10IT- (Room 114),MMA--09--- (Room 106),MEN--09E-- (Room 107),MSC--09--- (Room 211),MVA--09--- (Room 116),MSS--09--- (Room 123),MADGE09--- (Room 105),MPHE-09B-- (Room Gym)
1843,MMA--09--- (Room 220),MDNC-09PT- (Room Studio),MPHE-09G-- (Room Gym),MEN--09--- (Room 222),MVA--09--- (Room 116),MSS--09--- (Room 123),MFR--09--- (Room A-2),MSC--09--- (Room 219)
1844,MFR--09--- (Room 208),MMA--09--- (Room 106),MDNC-09F-- (Room Studio),MEN--09--- (Room 222),MSC--09--- (Room 211),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MADEM10--- (Room 208)
1845,MWBDV10IT- (Room 114),MDNC-09PT- (Room Studio),MVA--09--- (Room 116),MEN--09C-- (Room 205A),MSS--09C-- (Room 209),MPHE-09--- (Room Gym),MFR--09--- (Room A-2),MSC--09C-- (Room 211)
1846,MWBDV10IT- (Room 114),MADGE09--- (Room 104),MDNC-09F-- (Room Studio),MEN--09--- (Room 107),MMA--09--- (Room 210),MSS--09--- (Room 121),MPHE-09G-- (Room Gym),MSC--09--- (Room 226)
1847,MADGE09--- (Room 105),MADD-09--- (Room 105),MPHE-09--- (Room Gym),MADER09--- (Room 104),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 203),MSC--09C-- (Room 211)
1848,unassigned,MPHE-09Y-- (Room Gym),MPHE-09G-- (Room Gym),MEN--09--- (Room 222),MMA--09--- (Room 210),unassigned,unassigned,unassigned
1849,MADT-09--- (Room A-7),MMA--09--- (Room 106),MPHE-09--- (Room Gym),MSC--09--- (Room 211),MADEM10--- (Room 208),MFR--09--- (Room 207B),MSS--09--- (Room 122),MEN--09--- (Room 205B)
1850,MADT-09--- (Room A-7),MADD-09--- (Room 105),MMA--09H-- (Room 106),MEN--09--- (Room 107),MVA--09--- (Room 116),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MSC--09--- (Room 216)
1851,XBA--09C-L (Room 119),unassigned,MWBDV10IT- (Room 114),MEN--09--- (Room 222),MSC--09--- (Room 211),unassigned,MSS--09--- (Room 122),XBA--09C-L (Room 119)
1852,MFR--09--- (Room 208),unassigned,MEN--09E-- (Room 107),MSC--09--- (Room 211),MADD-09--- (Room 105),MSS--09--- (Room 107),MPHE-09G-- (Room Gym),MADW-09--- (Room 101)
1853,MFR--09--- (Room 208),MMA--09--- (Room 210),MPHE-09G-- (Room Gym),MEN--09--- (Room 222),MADT-09--- (Room A-7),MSS--09--- (Room 107),MSP--09--- (Room 207B),MSC--09--- (Room 216)
1854,XLDCB09LS- (Room 109),MDNC-09PT- (Room Studio),MPHE-09G-- (Room Gym),unassigned,MVA--09--- (Room 116),MSS--09--- (Room 222),XBA--09G-- (Room 119),MSC--09--- (Room 216)
1855,unassigned,unassigned,MSS--09C-- (Room 121),MEN--09C-- (Room 205A),MADEM10--- (Room 208),MPHE-09--- (Room Gym),MADGE09--- (Room 105),MSC--09C-- (Room 211)
1856,MFR--11--- (Room A-3),MADGE09--- (Room 104),MPHE-09--- (Room Gym),MADER09--- (Room 104),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 114),XLDCB09LS- (Room 108)
