Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1646,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),COMPUTER SCIENCE 11 (Room 203),ADST-Technology Explorations 10 (Room 104),ADST – POWER TECHNOLOGY 10 (Room 103),SCIENCE 10: CHALLENGE (Room 216),SOCIAL STUDIES 10 CHALLENGE (Room 208),ADST – FOOD STUDIES 10 (Room 206),COMPOSITION 10 Challenge (Room 207A)
1647,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym),ADST – POWER TECHNOLOGY 10 (Room 103),COMPOSITION 10 Challenge (Room A-3),SCIENCE 10: CHALLENGE (Room 216),SOCIAL STUDIES 10 CHALLENGE (Room 208),ADST-Technology Explorations 10 (Room 105),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym)
1648,ACCOUNTING 11 (Room 205A),SOCIAL STUDIES 10 CHALLENGE (Room 122),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 220),SCIENCE 10: CHALLENGE (Room 216),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),Information and Communications Technologies 10 (Room 203),COMPOSITION 10 Challenge (Room 207A)
1649,SCIENCE 10 (Room 226),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym),COMPOSITION 10 (Room 207B),SOCIAL STUDIES 10 (Room 205B),ACCOUNTING 11 (Room A-2),ADST – FOOD STUDIES 10 (Room 206),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 212),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym)
1650,unassigned,LEARNING STRATEGIES 10 LINEAR (Room 109),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),SOCIAL STUDIES 10 (Room 208),SCIENCE 10 (Room 219),COMPOSITION 10 (Room A-3),unassigned,LEARNING STRATEGIES 10 LINEAR (Room 109)
1651,ACCOUNTING 11 (Room 205A),SOCIAL STUDIES 10 (Room 123),Information and Communications Technologies 10 (Room 114),EFP WRITING 10 (Room 123),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 214),ADST – FOOD STUDIES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),SCIENCE 10 (Room 223)
1652,unassigned,SOCIAL STUDIES 10 (Room 222),COMPOSITION 10 (Room 207B),unassigned,SCIENCE 10 (Room 227),unassigned,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),unassigned
1653,ADST – FOOD STUDIES 10 (Room 206),SOCIAL STUDIES 10 (Room 123),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),EFP WRITING 10 (Room 123),ACCOUNTING 11 (Room A-2),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),FRENCH 12 (Room 107),SCIENCE 10 (Room 223)
1654,SPANISH 10 (Room 123),LEARNING STRATEGIES 10 (Room 109),EFP WRITING 10 (Room A-7),SOCIAL STUDIES 10 (Room 208),SCIENCE 10 (Room 225),ADST – FOOD STUDIES 10 (Room 206),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),CAREER LIFE EDUCATION 10 (Room 104)
1655,Information and Communications Technologies 10 (Room 114),COMPUTER SCIENCE 11 (Room 203),COMPOSITION 10 (Room 207B),SOCIAL STUDIES 10 (Room 122),SCIENCE 10 (Room 219),LEARNING STRATEGIES 10 (Room 109),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym)
