Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1166,unassigned,MMACS11---,MCH--12---,MCLC-12--L,ACAL-12---,unassigned,APHM-12---,MTDRF12---
1167,unassigned,MFOOD12---,YED--2CX--,MACLV12---,MWEX-2A--L,unassigned,MENST12---,unassigned
1168,MPH--12---,unassigned,MCH--12---,MCLC-12--L,MENST12---,MFOOD12---,MCALC12---,MPREC12---
1169,MACC-12---,MMACS12---,MCH--12---,MCLC-12--L,MENFP12---,unassigned,APHM-12---,YED--2DX-L
1170,MENR-12---,unassigned,MCH--12---,MCLC-12--L,unassigned,unassigned,MENST12---,MTDRF12---
1171,MCMPS11---,MDRM-12---,MLFSC11---,MCLC-12--L,MINST12---,MCMCC12--L,MENST12---,MCH--11---
1172,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MEVSC12C--,MPH--11---,MCALC12---,MPREC12---
1173,MAC--11---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,MACLV12---,MPH--12---,MPREC12---
1174,MPH--12---,unassigned,MENR-12---,MENST12---,unassigned,MPH--11---,MCALC12---,MPREC12---
1175,MVAST12---,unassigned,MVAPH11---,MENST12---,unassigned,unassigned,MWH--12---,unassigned
1176,MLST-12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,YCPA-2AX-L,MATPH12---,MPREC12---
1177,MLST-12---,MEC--12---,MCH--12---,MCLC-12--L,MENST12---,YCPA-2AX-L,MCMCL12---,MPREC12---
1178,MPH--12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1179,MDNTP12---,MEC--12---,MDNCM12--L,MCLC-12--L,MENFP12---,MFOM-11---,MCMCL12---,unassigned
1180,unassigned,unassigned,MSP--12---,MENST12---,unassigned,unassigned,MPH--12---,MPREC12---
1181,MVAST12---,MDRM-12---,YPSYC1AX--,MCLC-12--L,MEVSC11---,MFOM-11---,MENST12---,unassigned
1182,unassigned,unassigned,MCH--12---,MCLC-12--L,MENST12---,MPH--11---,MCALC12---,MPREC12---
1183,MDNCN12---,unassigned,MCH--12---,MCLC-12--L,MENST12---,MCMCC12--L,MCALC12---,MPREC12---
1184,unassigned,unassigned,unassigned,MCLC-12--L,MTAUT12---,MEVSC11---,MENST12---,unassigned
1185,unassigned,MFOOD11---,unassigned,MCMPS11---,MPREC11---,MDCF-11---,unassigned,unassigned
1186,MFOOD12---,MDRM-12---,unassigned,MCLC-12--L,MENFP12---,MPH--11---,MWH--12---,MPREC12---
1187,unassigned,MFOOD12---,unassigned,MENFP12---,unassigned,MCLC-12---,MEPSS11---,unassigned
1188,MLST-12---,unassigned,MCH--12---,MCLC-12--L,MENFP12---,unassigned,MCALC12---,MPREC12---
1189,MLST-12---,unassigned,MCH--12---,MCLC-12--L,MTAUT12---,unassigned,MENST12---,MPREC12---
1190,unassigned,MFOOD12---,MATPH12---,MACLV12---,MEVSC12C--,unassigned,MENST12---,MPREC12---
1191,unassigned,unassigned,MVAPH11---,MCLC-12--L,MENFP12---,MCLE-10---,MLST-12---,MIMJB12--L
1192,MVAST12---,MBSP-11---,YPSYC1AX--,MCLC-12--L,unassigned,MFOOD12---,MENST12---,unassigned
1193,unassigned,MFOOD12---,MATPH12---,MCLC-12--L,MENST12---,MPH--11---,MCALC12---,MPREC12---
1194,MENR-12---,unassigned,MATPH12---,MENST12---,unassigned,unassigned,unassigned,MPREC12---
1195,MDNCN12---,unassigned,unassigned,MCLC-12--L,YESFL1CX--,unassigned,MCMCL12---,MPREC12---
1196,MMEDD12---,unassigned,MENR-12---,MCLC-12--L,MCMPR12AI-,YCPA-2AX-L,MLST-12---,MPREC12---
1197,MDNTP12---,MFOOD12---,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1198,MDNCN12---,unassigned,MDNC-12--L,MCLC-12--L,MENST12---,unassigned,MATPH12---,unassigned
1199,MEC--12---,MECOM12---,MCH--12---,MCLC-12--L,MENFP12---,unassigned,unassigned,MPREC12---
1200,MBSP-11---,unassigned,ASTA-12---,MCLC-12--L,MENST12---,MACC-12---,MCH--12---,YED--2FX-L
1201,unassigned,MCH--11---,MATPH12---,MCLC-12--L,MENFP12---,MACLV12---,MPH--12---,MPREC12---
1202,MTXT-12---,MBSP-11---,MATPH12---,MCH--11---,MENST12---,unassigned,MCH--12---,MPREC12---
1203,MLST-12---,MDRM-12---,MTXT-12---,MCLC-12--L,MENST12---,MFOM-11---,MCMCL12---,unassigned
1204,MFOOD12---,unassigned,MATPH12---,MCLC-12--L,MENFP12---,YCPA-2AX-L,MCH--12---,MIMJB12--L
1205,MENR-12---,MCMPR11AI-,unassigned,MCLC-12--L,MENFP12---,MTROB12--L,MCALC12---,MPREC12---
1206,MEC--12---,unassigned,MATPH12---,ACSC-2A---,MCALC12---,unassigned,APHM-12---,YED--2FX-L
1207,MDNTP12---,unassigned,MSP--12---,MCLC-12--L,MENST12---,unassigned,MCMCL12---,MFR--12---
1208,MPH--12---,MEC--12---,MCH--12---,MCLC-12--L,ACAL-12---,MMUOR12S-L,MLST-12---,MTDRF12---
1209,AELC-12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,MCMCC12--L,MATPH12---,MIMJB12--L
