Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1435,MEDIA DESIGN 11 (Room 114),CRIMINOLOGY 12 (Room 123),ACCOUNTING 11 (Room 206),MARKETING AND PROMOTION 11 (Room 107),PRE-CALCULUS 11 (Room 221),ENGINEERING 11 (Room 105),OUTDOOR EDUCATION 11 (Room _CHECK THIS THING IDK),COMPOSITION 11 (Room 207A)
1436,SPANISH 12 (Room 205A),PRE-CALCULUS 11 (Room 220),CHEMISTRY 11 (Room 223),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 207B),LITERARY STUDIES 11 Challenge (Room A-7),unassigned,unassigned,PHYSICS 11 (Room 226)
1437,COMPOSITION 11 (Room 209),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),LIFE SCIENCES 11 (Room 225),FOOD STUDIES 11 (Room 206),FOUNDATIONS OF MATHEMATICS 11 (Room 214),CAREER LIFE EDUCATION 10 (Room 104),ACTIVE LIVING 11 (Room Gym),WOODWORK 11 (Room 101)
1438,CONTEMPORARY INDIGENOUS STUDIES 12 (Room 121),CAREER LIFE EDUCATION 10 (Room 201),LIFE SCIENCES 11 (Room 225),FOOD STUDIES 11 (Room 206),FOUNDATIONS OF MATHEMATICS 11 (Room 214),20th CENTURY WORLD HISTORY 12 (Room 121),ACTIVE LIVING 11 (Room Gym),COMPOSITION 11 (Room 207A)
1439,PRE-CALCULUS 12 (Room 221),LAW STUDIES 12 (Room 222),COMPOSITION 11 (Room A-6),CAREER LIFE EDUCATION 10 (Room 104),ART STUDIO 11 (Room 116),ANATOMY AND PHYSIOLOGY 12 (Room 227),ACTIVE LIVING 11 (Room Gym),PSYCHOLOGY 11 (Room 122)
1440,PHYSICS 11 (Room 216),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),CHEMISTRY 11 (Room 223),PRE-CALCULUS 11 HONOURS (Room 210),COMPOSITION 11 (Room 209),ENVIRONMENTAL SCIENCE 11 (Room 123),OUTDOOR EDUCATION 11 (Room _CHECK THIS THING IDK),CAREER LIFE EDUCATION 10 (Room 201)
1441,LAW STUDIES 12 (Room A-2),SOCIAL JUSTICE 12 (Room A-3),CHEMISTRY 11 (Room 223),COMPOSITION 11 (Room 208),PHYSICS 11 (Room 219),PRE-CALCULUS 11 (Room 212),ACTIVE LIVING 11 (Room Gym),PSYCHOLOGY 11 (Room 122)
1442,unassigned,TEXTILES 11 (Room A-7),COMPOSITION 11 (Room 123),unassigned,LIFE SCIENCES 11 (Room 227),unassigned,PHOTOGRAPHY 11 (Room 113),unassigned
1443,LITERARY STUDIES 11 Challenge (Room A-7),PRE-CALCULUS 11 (Room 212),CHEMISTRY 11 (Room 223),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 207B),PHYSICS 11 (Room 219),ANATOMY AND PHYSIOLOGY 12 (Room 211),PSYCHOLOGY 11 (Room 207A),CHEMISTRY 12 (Room 219)
1444,LIFE SCIENCES 11 (Room 211),unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 221),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 122),COMPOSITION 11 (Room 205B),unassigned,unassigned,unassigned
1445,unassigned,unassigned,COMPOSITION 11 (Room A-6),LIFE SCIENCES 11 (Room 219),unassigned,SOCIAL STUDIES 10 (Room 222),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),unassigned
1446,unassigned,EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),LIFE SCIENCES 11 (Room 225),CAREER LIFE EDUCATION 10 (Room 104),COMPOSITION 11 (Room 209),unassigned,WORKPLACE MATHEMATICS 11 (Room 210),TEXTILES 11 (Room A-7)
1447,LAW STUDIES 12 (Room A-2),PRE-CALCULUS 11 (Room 220),COMPOSITION 11 (Room 205A),CAREER LIFE EDUCATION 10 (Room 104),ART STUDIO 11 (Room 116),ENVIRONMENTAL SCIENCE 11 (Room 123),PSYCHOLOGY 11 (Room 207A),ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (Room 123)
1448,LIFE SCIENCES 11 (Room 211),PRE-CALCULUS 11 (Room 220),COMPOSITION 11 (Room A-6),ENTREPRENEURSHIP 12 (Room 107),ACCOUNTING 11 (Room 206),ENGINEERING 11 (Room 105),ART STUDIO 11 (Room 116),CAREER LIFE EDUCATION 10 (Room 201)
1449,unassigned,unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 221),LIFE SCIENCES 11 (Room 219),unassigned,unassigned,EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),COMPOSITION 11 (Room 207A)
